CertIssuer,CertIsOsBinary,CertSigType,CertStatus,CertStatusMsg,aslr,authenticode,cfg,dotNET,dynamicBase,forceIntegrity,gs,highEntropyVA,isolation,nx,path,rfg,safeSEH,seh
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\baaupdate.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\backgroundTaskHost.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\BackgroundTransferHost.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bash.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bcdboot.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bcdedit.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bdechangepin.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\BdeHdCfg.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\BdeUISrv.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bdeunlock.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\BioIso.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\BitLockerDeviceEncryption.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\BitLockerWizard.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\BitLockerWizardElev.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bitsadmin.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bootcfg.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bootim.exe,FALSE,FALSE,TRUE
